Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy,Client 10 Accuracy
0010010010,145,"[2, 5, 8]",0.2631578947368421,8,4,8,100,0.37684210526315787,0.24105263157894738,0.4652631578947368,0.3894736842105263,0.2063157894736842,0.3031578947368421,0.27578947368421053,0.21263157894736842,0.5978947368421053,0.42526315789473684
0011110010,241,"[2, 5, 6, 7, 8]",0.30526315789473685,8,4,8,100,0.37684210526315787,0.24105263157894738,0.4652631578947368,0.3894736842105263,0.2063157894736842,0.3031578947368421,0.27578947368421053,0.21263157894736842,0.5978947368421053,0.42526315789473684
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.49157894736842106,8,4,8,100,0.37684210526315787,0.24105263157894738,0.4652631578947368,0.3894736842105263,0.2063157894736842,0.3031578947368421,0.27578947368421053,0.21263157894736842,0.5978947368421053,0.42526315789473684
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.4957894736842105,9,4,8,100,0.31684210526315787,0.40842105263157896,0.31894736842105265,0.46842105263157896,0.23789473684210527,0.3526315789473684,0.32842105263157895,0.18736842105263157,0.5778947368421052,0.5842105263157895
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6263157894736842,9,4,8,100,0.31684210526315787,0.40842105263157896,0.31894736842105265,0.46842105263157896,0.23789473684210527,0.3526315789473684,0.32842105263157895,0.18736842105263157,0.5778947368421052,0.5842105263157895
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5947368421052631,11,4,8,100,0.36210526315789476,0.2894736842105263,0.3431578947368421,0.2894736842105263,0.40842105263157896,0.3357894736842105,0.3063157894736842,0.2336842105263158,0.4884210526315789,0.45789473684210524
0000111010,57,"[2, 4, 5, 6]",0.24,12,4,8,100,0.2873684210526316,0.2073684210526316,0.34842105263157896,0.22526315789473683,0.22210526315789475,0.2305263157894737,0.3631578947368421,0.25894736842105265,0.5663157894736842,0.30526315789473685
0010111011,186,"[1, 2, 4, 5, 6, 8]",0.2894736842105263,12,4,8,100,0.2873684210526316,0.2073684210526316,0.34842105263157896,0.22526315789473683,0.22210526315789475,0.2305263157894737,0.3631578947368421,0.25894736842105265,0.5663157894736842,0.30526315789473685
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.3736842105263158,12,4,8,100,0.2873684210526316,0.2073684210526316,0.34842105263157896,0.22526315789473683,0.22210526315789475,0.2305263157894737,0.3631578947368421,0.25894736842105265,0.5663157894736842,0.30526315789473685
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.46210526315789474,13,4,8,100,0.24,0.3263157894736842,0.3526315789473684,0.2736842105263158,0.2326315789473684,0.22105263157894736,0.28,0.24210526315789474,0.42210526315789476,0.42947368421052634
0011000111,198,"[1, 2, 3, 7, 8]",0.29789473684210527,14,4,8,100,0.27578947368421053,0.29157894736842105,0.19894736842105262,0.4242105263157895,0.2894736842105263,0.49157894736842106,0.2305263157894737,0.2894736842105263,0.4978947368421053,0.4968421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5073684210526316,15,4,8,100,0.36736842105263157,0.18421052631578946,0.4357894736842105,0.4063157894736842,0.32421052631578945,0.3357894736842105,0.25894736842105265,0.1705263157894737,0.39263157894736844,0.3831578947368421
0000101111,46,"[1, 2, 3, 4, 6]",0.3,16,4,8,100,0.25473684210526315,0.25684210526315787,0.23157894736842105,0.2231578947368421,0.45263157894736844,0.27157894736842103,0.3431578947368421,0.3505263157894737,0.5673684210526316,0.47578947368421054
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5157894736842106,18,4,8,100,0.29368421052631577,0.4073684210526316,0.42526315789473684,0.2863157894736842,0.18842105263157893,0.37894736842105264,0.22,0.23473684210526316,0.48210526315789476,0.4494736842105263
0011010100,211,"[3, 5, 7, 8]",0.3031578947368421,19,4,8,100,0.5136842105263157,0.4536842105263158,0.26421052631578945,0.391578947368421,0.22,0.3936842105263158,0.2810526315789474,0.2905263157894737,0.36526315789473685,0.36
1111010100,979,"[3, 5, 7, 8, 9, 10]",0.3684210526315789,19,4,8,100,0.5136842105263157,0.4536842105263158,0.26421052631578945,0.391578947368421,0.22,0.3936842105263158,0.2810526315789474,0.2905263157894737,0.36526315789473685,0.36
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5536842105263158,19,4,8,100,0.5136842105263157,0.4536842105263158,0.26421052631578945,0.391578947368421,0.22,0.3936842105263158,0.2810526315789474,0.2905263157894737,0.36526315789473685,0.36
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5442105263157895,20,4,8,100,0.3021052631578947,0.25473684210526315,0.29473684210526313,0.2768421052631579,0.34210526315789475,0.2905263157894737,0.3368421052631579,0.37157894736842106,0.4726315789473684,0.5010526315789474
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.3863157894736842,21,4,8,100,0.21263157894736842,0.2305263157894737,0.37684210526315787,0.37684210526315787,0.23578947368421052,0.30105263157894735,0.3368421052631579,0.25684210526315787,0.4536842105263158,0.4336842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.4589473684210526,21,4,8,100,0.21263157894736842,0.2305263157894737,0.37684210526315787,0.37684210526315787,0.23578947368421052,0.30105263157894735,0.3368421052631579,0.25684210526315787,0.4536842105263158,0.4336842105263158
0011011011,218,"[1, 2, 4, 5, 7, 8]",0.3410526315789474,22,4,8,100,0.25157894736842107,0.22105263157894736,0.4494736842105263,0.2831578947368421,0.2694736842105263,0.4189473684210526,0.34,0.23473684210526316,0.5778947368421052,0.49157894736842106
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5947368421052631,22,4,8,100,0.25157894736842107,0.22105263157894736,0.4494736842105263,0.2831578947368421,0.2694736842105263,0.4189473684210526,0.34,0.23473684210526316,0.5778947368421052,0.49157894736842106
0011111101,252,"[1, 3, 4, 5, 6, 7, 8]",0.38,24,4,8,100,0.23473684210526316,0.5494736842105263,0.34210526315789475,0.3157894736842105,0.3368421052631579,0.12631578947368421,0.32,0.24421052631578946,0.4494736842105263,0.5126315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5505263157894736,24,4,8,100,0.23473684210526316,0.5494736842105263,0.34210526315789475,0.3157894736842105,0.3368421052631579,0.12631578947368421,0.32,0.24421052631578946,0.4494736842105263,0.5126315789473684
0001101101,108,"[1, 3, 4, 6, 7]",0.3126315789473684,25,4,8,100,0.24947368421052632,0.36526315789473685,0.2168421052631579,0.21789473684210525,0.45789473684210524,0.29894736842105263,0.26842105263157895,0.48,0.5347368421052632,0.5168421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5473684210526316,25,4,8,100,0.24947368421052632,0.36526315789473685,0.2168421052631579,0.21789473684210525,0.45789473684210524,0.29894736842105263,0.26842105263157895,0.48,0.5347368421052632,0.5168421052631579
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.35368421052631577,26,4,8,100,0.26105263157894737,0.24210526315789474,0.3294736842105263,0.21052631578947367,0.28210526315789475,0.23894736842105263,0.33789473684210525,0.26631578947368423,0.5052631578947369,0.5021052631578947
0011110111,246,"[1, 2, 3, 5, 6, 7, 8]",0.3778947368421053,27,4,8,100,0.18210526315789474,0.28526315789473683,0.32105263157894737,0.41368421052631577,0.23578947368421052,0.2505263157894737,0.3,0.3,0.5431578947368421,0.4926315789473684
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.4263157894736842,28,4,8,100,0.28,0.2810526315789474,0.32105263157894737,0.2326315789473684,0.24421052631578946,0.39473684210526316,0.2336842105263158,0.39473684210526316,0.5168421052631579,0.5631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5684210526315789,28,4,8,100,0.28,0.2810526315789474,0.32105263157894737,0.2326315789473684,0.24421052631578946,0.39473684210526316,0.2336842105263158,0.39473684210526316,0.5168421052631579,0.5631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5073684210526316,29,4,8,100,0.3105263157894737,0.41157894736842104,0.2305263157894737,0.2873684210526316,0.19157894736842104,0.4663157894736842,0.3294736842105263,0.34421052631578947,0.3957894736842105,0.4231578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5452631578947369,31,4,8,100,0.28526315789473683,0.32421052631578945,0.35578947368421054,0.3736842105263158,0.3663157894736842,0.3568421052631579,0.30105263157894735,0.14,0.5105263157894737,0.47578947368421054
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.3936842105263158,32,4,8,100,0.3410526315789474,0.2631578947368421,0.22526315789473683,0.36,0.23578947368421052,0.23894736842105263,0.31894736842105265,0.27578947368421053,0.48,0.58
0000110101,52,"[1, 3, 5, 6]",0.2768421052631579,34,4,8,100,0.23894736842105263,0.4463157894736842,0.26631578947368423,0.35578947368421054,0.22210526315789475,0.26526315789473687,0.5936842105263158,0.38526315789473686,0.3526315789473684,0.35789473684210527
1110111101,956,"[1, 3, 4, 5, 6, 8, 9, 10]",0.39263157894736844,34,4,8,100,0.23894736842105263,0.4463157894736842,0.26631578947368423,0.35578947368421054,0.22210526315789475,0.26526315789473687,0.5936842105263158,0.38526315789473686,0.3526315789473684,0.35789473684210527
0011011111,222,"[1, 2, 3, 4, 5, 7, 8]",0.34210526315789475,36,4,8,100,0.3126315789473684,0.32210526315789473,0.3042105263157895,0.16210526315789472,0.3357894736842105,0.42736842105263156,0.22105263157894736,0.2294736842105263,0.4978947368421053,0.5621052631578948
